ACCE_ABSORB_COST	تكاليف الدمج: %d
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	فُرصة النجاح: %.1f%%
AURA_CLEAR_CANNOT_USE_SEALED_ITEM	لا يمكن تغيير القيم الخاصة بالبنود المربوطة بالروح.
AURA_CLEAR_QUESTION_WHEN_USE	هل تريد إزالة القيم المسجلة؟ لا يمكن استعادتها بعد ذلك.
AURA_DRAIN_PER	قيمة الاستيعاب %.1f%%
AURA_EVOLUTION_GOLD	[هالة] ليس لديك يانغ كافٍ للتطوير.
AURA_IMPOSSIBLE_ABSORBITEM	[هالة] لا يمكن نقل المزيد من العلاوات.
AURA_IMPOSSIBLE_EQUIPITEM	[هالة] لا يمكن نقل البند المجهز.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[هالة] لا يمكن تطويره.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[هالة] عدد البنود غير كاف للتطوير.
AURA_IMPOSSIBLE_GROWTHITEM	[هالة] لا يمكن تحسينه.
AURA_IMPOSSIBLE_REFINEITEM	[هالة] يمكنك استخدام ملابس الهالة، ترس، قلادة، حلق سوار فقط.
AURA_IMPOSSIBLE_SEALITEM	[هالة] لا يمكنك نقل البنود المربوطة بالروح.
AURA_ITEM_NEED_REGISTER	[هالة] يجب إدراج البنود.
AURA_LEVEL_STEP	المستوى %d (الرتبة %d)
AURA_MAX_LEVEL	[هالة] لقد وصلت ملابس الهالة إلى المستوى الأقصى.
AURA_NOTICE_DEL_ABSORDITEM	[هالة] لقد تم تدمير البند المنقول.
AURA_OPEN_OTHER_WINDOW	لا يمكنك القيام بذلك إن كانت نافذة التحسين أو التطوير أو نقل الإحصائيات مفتوحة.
AURA_POSSIBLE_AURAITEM	[هالة] يمكن فقط لملابس الهالة.
AURA_POSSIBLE_REGISTER_AURAITEM	[هالة] يجب إدراج ملابس الهالة أولا.
AURA_TITLE_ABSORB	نقل قيم الى ملابس الهالة
AURA_TITLE_EVOLUTION	تطوير ملابس الهالة
AURA_TITLE_GROWTH	تحسين ملابس الهالة
AURA_TOOLTIP_EXP	خبرة (%d%% / 100%%)
AURA_TOOLTIP_LEVEL	المستوى %d (الرتبة %d) (قيمة الاستيعاب %.1f%%)
AURA_TOOLTIP_NEED_YANG	%s يانغ
AURA_TOOLTIP_NEXT	جديد
AURA_TOOLTIP_NOW	حالي
AURA_TOOLTIP_RESOURCE	أشياء استهلاكية
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
AUTO_TOOLTIP_CLEAR	إعادة
AUTO_TOOLTIP_LINE1	مهارات: اختر إحدى المهارات وضعها في الفتحات المُخصصة لذلك. (حساب ممتاز)
AUTO_TOOLTIP_LINE2	تنبيه: يمكنك تعديل المدة الزمنية (بالثواني) لكل مهارة من المهارات.
AUTO_TOOLTIP_LINE3	جرعات: اختر إحدى الجرعات وضعها في الفتحات المُخصصة لذلك. (حساب ممتاز)
AUTO_TOOLTIP_LINE4	تنبيه: سيتم تفعيل جرعات الحياة والأسلوب بمُجرد هبوط قيمتها تحت القيمة المئوية المُدرجة.
AUTO_TOOLTIP_LINE5	ملاحظة: يمكن تفعيل الاستخدام التلقائي للمهارات والجرعات والإحياء في متجر اللعبة.
AUTO_TOOLTIP_TITLE	مساعدة الصيد التلقائي
BATTLE_MAP_NAME_AREA_1	منطقة 1
BATTLE_MAP_NAME_AREA_2	منطقة 2
BATTLE_MAP_NAME_AREA_3	منطقة 3
BATTLE_MAP_NAME_AREA_4	منطقة 4
BATTLE_MAP_NAME_AREA_5	منطقة 5
BATTLE_MAP_NAME_AREA_6	منطقة 6
BATTLE_MAP_NAME_AREA_7	منطقة 7
BATTLE_MAP_NAME_AREA_8	منطقة 8
BATTLE_MAP_NAME_AREA_9	منطقة 9
BATTLE_POINT	نقاط المعركة
BATTLE_ROYALE_ALIVE_COUNT	الناجون: %d
BATTLE_ROYALE_APPLICATION_TITLE	باتل رويال
BATTLE_ROYALE_CANNOT_OPEN_MALL	لا يمكنك فتح هذا هنا.
BATTLE_ROYALE_KILL_COUNT	هزم الخصم: %d
BATTLE_ROYALE_MAINBUTTON_APPLICATION	مشاركة
BATTLE_ROYALE_MAINBUTTON_CANCEL	إلغاء
BATTLE_ROYALE_MAINBUTTON_EXIT	خروج
BATTLE_ROYALE_MAINBUTTON_STARTABLE	ابدأ
BATTLE_ROYALE_NOTIFY_APPLICATED	لقد قمت بالتسجيل في باتل رويال. بمجرد وجود عدد كافٍ من المشاركين، يمكنك الانضمام.
BATTLE_ROYALE_NOTIFY_ENTRY_CLOSED	تم إغلاق التسجيل في باتل رويال.
BATTLE_ROYALE_NOTIFY_STARTABLE	يمكنك الآن الدخول إلى باتل رويال. انقر فوق زر الاحتفالية للمشاركة.
BATTLE_ROYALE_NOTIFY_WINNER	لقد ربحت.
BATTLE_ROYALE_PERSONAL_RANK	الرتبة الشخصية: %d
BATTLE_ROYALE_QUESTION_USE_INFINITE_STAMINA	هل تريد استخدام القدرة على التحمّل التي لا نهاية لها؟
BATTLE_ROYALE_WHO_KILLED	اللاعب الذي قتلك: %s
BATTLE_ROYALE_WINNER_1	لقد ربحت باتل رويال!
BATTLE_ROYALE_WINNER_2	في غضون لحظات قليلة سيتم نقلك الفوري إلى القرية.
BEAD	النجم الروحي
BEAD_TIME_REMAINING_TO_GET	سيتم شحن النجم الروحي في خلال: %d دقيقة/دقائق.
BELT_RENEWAL_BANN_SIGN	لا يمكنك الاستمرار.
BELT_RENEWAL_INVENTORY_FULL	ليس لديك مساحة كافية في قائمة الجرد.
BNW_COIN	عملة العراف
BUY_LIMIT_LEVEL	حد الشراء: %s
CANNOT_ATTACK_DEST_IN_SAFE	إن الخصم بعيد جداً.
CANNOT_ATTACK_SELF_IN_SAFE	لا استطيع مهاجمة الخصم من هنا.
CANNOT_DOING_PRIVATE_SHOP_OPEN	لا يمكنك القيام بأي أمر آخر طالما تقوم بفتح متجر خاص.
CANNOT_EQUIP_IN_EXCHANGE	لا يمكنك استبدال الدرع أثناء المتاجرة.
CANNOT_EQUIP_IN_SHOP	لا يمكنك استبدال الدرع أثناء المتاجرة.
CANNOT_FISHING_RIDE_MOUNT	لا يمكنك الصيد أثناء ركوب الدابة.
CANNOT_FISHING_WHILE_POLY	لا يمكنك الصيد أثناء التحول.
CANNOT_ILLUSTRATIONPAGE_WARP	لا يمكنك استعمال النقل الآني لبطاقات الوحوش هنا.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	لا يمكنك فتح متجر خاص بك في مكان عام.
CANNOT_PVP_MAP_MESSAGE	لا يمكنك فعل ذلك في هذه المنطقة.
CANNOT_SHOOT_DEST_IN_SAFE	إن الخصم بعيد جداً.
CANNOT_SHOOT_EMPTY_ARROW	إنني بحاجة إلى سهم.
CANNOT_SHOOT_SELF_IN_SAFE	لا يمكنني مهاجمة الخصم من هنا.
CANNOT_SKILL_APPROACH	أنا متأكد بأنني لن اقترب منه.
CANNOT_SKILL_ATTACK	لا يمكنني مهاجمتك.
CANNOT_SKILL_BLUE	لا يمكنك استعمال روح الذئب النّيلي إذا كانت روح الذئب الكرزي مُفعّلة.
CANNOT_SKILL_DEST_IN_SAFE	إن الخصم بعيد جداً.
CANNOT_SKILL_EQUIP_FISHING_ROD	دون إستخدام صنارة صيد مجهزة لا يمكنك صيد السمك.
CANNOT_SKILL_HAVE_TO_RIDE	إنني بحاجة إلى حصان لاستعماله.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	إنني لا أملك قارورة فارغة.
CANNOT_SKILL_NEED_POISON_BOTTLE	إنني لا أملك قارورة سم.
CANNOT_SKILL_NEED_TARGET	منِ الهدف؟
CANNOT_SKILL_NOT_ENOUGH_HP	إنني لا أملك ما يكفي من نقاط الحياة!
CANNOT_SKILL_NOT_ENOUGH_SP	إنني لا أملك نقاط أسلوب كافية!
CANNOT_SKILL_NOT_HORSE_SKILL	لا أستطيع استعماله أثناء ركوبي الحصان.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	لا استطيع استعمال هذه المهارة بهذا السلاح.
CANNOT_SKILL_NOT_STANDING_HORSE_SKILL	لا يمكنك استخدام هذه المهارة على هذه الدابة.
CANNOT_SKILL_NOT_YET_LEARN	إنني لم أتعلم هذه المهارة بعد.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	هذا يؤثر فقط على أعضاء الفريق.
CANNOT_SKILL_ONLY_FOR_CORPSE	إن هذا يؤثر فقط على الموتى.
CANNOT_SKILL_RED	لا يمكنك استعمال روح الذئب الكرزي إذا كانت روح الذئب النّيلي مُفعّلة.
CANNOT_SKILL_REMOVE_FISHING_ROD	لا يمكنني استعمال هذه المهارة مع صنارة صيد.
CANNOT_SKILL_SELF_IN_SAFE	لا استطيع المهاجمة من هنا.
CANNOT_SKILL_USE_SELF	لا يمكنني استعماله على نفسي.
CANNOT_SKILL_WAIT_COOLTIME	لا يمكنني استعمال هذه المهارة بعد.
CANNOT_USE	لا يمكنك استعماله.
CANNOT_USE_SUTRA_TO_GOOD_ALIGNMENT	لا يمكنك استخدام حبة فاصوليا زن لأنه لا يمكن خفض لتصنيف العدائي الخاص بك أكثر من ذلك.
CANNOT_WHISPER_DEST_REFUSE	أغلق %s الهمس بالكامل.	SA
CANNOT_WHISPER_NOT_LOGON	إن %s غير مُتصل	SA
CANNOT_WHISPER_SELF_REFUSE	لا يمكنك الهمس لأحد إذا أغلقت الهمس بالكامل.	SNA
CANT_USE_MESSAGE_WHEN_EQUIP	لا يمكنك تطبيق هذا على بند مجهز.
CATCHKING_EVENT_MESSAGE_CARD_GAIN	احصل على طقم ورق لعب.
CATCHKING_EVENT_MESSAGE_CARD_PEICE_GAIN	احصل على أوراق لعب ملكية.
CATCHKING_EVENT_MESSAGE_NOT_ENOUGHT_ITEM	ليس لديك ما يكفي من البنود أو المال للعب.
CATCHKING_EVENT_MESSAGE_NO_MORE_GAIN	لا يمكنك الحصول على المزيد من أطقم ورق اللعب الملكية.
CATEGORY_ARMOR_ARMOR_BODY	دروع
CATEGORY_ARMOR_ARMOR_GLOVE	قفازات
CATEGORY_ARMOR_ARMOR_HEAD	خوذ
CATEGORY_ARMOR_ARMOR_SHIELD	دروع
CATEGORY_COSTUMES	أزياء
CATEGORY_COSTUMES_AURA	ملابس الهالة
CATEGORY_COSTUMES_COSTUME_BODY	أزياء
CATEGORY_COSTUMES_COSTUME_HAIR	تسريحات
CATEGORY_COSTUMES_COSTUME_WEAPON	طراز الأسلحة
CATEGORY_COSTUMES_ETC	غيره
CATEGORY_COSTUMES_SASH	أوشحة
CATEGORY_DRAGON_STONE	كيمياء حجر التنين
CATEGORY_DRAGON_STONE_DEMON	جمشت
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	ماس
CATEGORY_DRAGON_STONE_DRAGON_GARNET	عقيق
CATEGORY_DRAGON_STONE_DRAGON_JADE	يشم
CATEGORY_DRAGON_STONE_DRAGON_ONYX	جزع
CATEGORY_DRAGON_STONE_DRAGON_RUBY	ياقوت
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	ياقوت أزرق
CATEGORY_DRAGON_STONE_ETC	غيره
CATEGORY_EQUIPMENT_ARMOR	دروع وعتاد
CATEGORY_EQUIPMENT_JEWELRY	حلي
CATEGORY_EQUIPMENT_WEAPON	أسلحة
CATEGORY_ETC	غيره
CATEGORY_ETC_ALL	الكل
CATEGORY_ETC_ETC	غيره
CATEGORY_ETC_EVENT	بنود الاحتفالية
CATEGORY_ETC_GIFTBOX	صناديق | علب
CATEGORY_ETC_MATRIMORY	عُرس
CATEGORY_ETC_PARTI	كتب فنون الحرب
CATEGORY_ETC_POLYMORPH	كرة التحول
CATEGORY_ETC_RECIPE	خلط الجرعات
CATEGORY_ETC_SEAL	الربط بالروح
CATEGORY_FISHING_PICK	صيد السمك | استغلال المناجم
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	مناكيش
CATEGORY_FISHING_PICK_ETC	غيره
CATEGORY_FISHING_PICK_FISHING_POLE	صنارة الصيد
CATEGORY_FISHING_PICK_FOOD	سمك
CATEGORY_FISHING_PICK_PICK_BOOK	كتب التعدين
CATEGORY_FISHING_PICK_STONE	معادن
CATEGORY_JEWELRY_ARMOR_EAR	حلق
CATEGORY_JEWELRY_ARMOR_FOOTS	أحذية
CATEGORY_JEWELRY_ARMOR_NECK	قلائد
CATEGORY_JEWELRY_ARMOR_PENDANT	تعويذة
CATEGORY_JEWELRY_ARMOR_WRIST	أساور
CATEGORY_JEWELRY_ITEM_BELT	أحزمة
CATEGORY_MOUNT_PET	دواب | رفاق
CATEGORY_MOUNT_PET_CHARGED_PET	رفاق
CATEGORY_MOUNT_PET_EGG	بيض الرّفاق
CATEGORY_MOUNT_PET_FREE_PET	رفاق يمكن تطويرها
CATEGORY_MOUNT_PET_MOUNT	دواب
CATEGORY_POTION	جرعات
CATEGORY_POTION_ABILITY	مواد استهلاكية
CATEGORY_POTION_ETC	غيره
CATEGORY_POTION_HAIRDYE	صباغة شعر
CATEGORY_SKILL	مهارات
CATEGORY_SKILL_BOOK_OF_OBLIVION	كُتب النسيان
CATEGORY_SKILL_ETC	غيره
CATEGORY_SKILL_HORSE_SKILL_BOOK	كتاب مهارات الحصان
CATEGORY_SKILL_PAHAE	صد | دفع
CATEGORY_SKILL_SKILL_BOOK	كُتب المهارات
CATEGORY_SORT_LOWEST_ALL_PRICE	أدنى سعر إجمالي
CATEGORY_SORT_LOWEST_COUNT	الكمية (من الأقل إلى الأعلى)
CATEGORY_SORT_LOWEST_PER_PRICE	أدنى سعر للوحدة
CATEGORY_SORT_MAXIMUN_ALL_PRICE	أعلى سعر إجمالي
CATEGORY_SORT_MAXIMUN_COUNT	الكمية (من الأعلى إلى الأقل)
CATEGORY_SORT_MAXIMUN_PER_PRICE	أعلى سعر للوحدة
CATEGORY_SORT_RECENT	الأحدث
CATEGORY_TUNING	تحسينات
CATEGORY_TUNING_ALCHEMY	زيادة فرص النجاح
CATEGORY_TUNING_ETC	غيره
CATEGORY_TUNING_RESOURCE	مواد
CATEGORY_TUNING_STONE	حجر شبحي
CATEGORY_UNIQUE	بنود خاصة
CATEGORY_UNIQUE_ABILITY	مواد استهلاكية
CATEGORY_UNIQUE_ETC	غيره
CATEGORY_WEAPON_WEAPON_ARROW	أسهم
CATEGORY_WEAPON_WEAPON_BELL	أجراس
CATEGORY_WEAPON_WEAPON_BOW	أقواس
CATEGORY_WEAPON_WEAPON_CLAW	مخالب
CATEGORY_WEAPON_WEAPON_DAGGER	خناجر
CATEGORY_WEAPON_WEAPON_FAN	مراوح
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	رماح
CATEGORY_WEAPON_WEAPON_QUIVER	جعبة السهام
CATEGORY_WEAPON_WEAPON_SWORD	أسلحة يد واحدة
CATEGORY_WEAPON_WEAPON_TWO_HANDED	أسلحة يدين
CHANGE_ALREADY_REGISTER	[تشكيل] تم استعمال هذا الشئ من قبل.
CHANGE_LOOK_CHANGE_ITEM	هل تريد تشكيل الشئ؟
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[تشكيل] يرجى أولاً إزالة الشئ الذي تود تشكيله.
CHANGE_LOOK_COST	ثمن التشكيل: %s يانغ
CHANGE_LOOK_DEL_ITEM	سيتم تدمير هذا الشيء
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[تشكيل] لا يمكن عمل تشكيل لهذا الشئ.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[تشكيل] لا يمكنك عمل تشكيل لهذا الشئ أثناء تجهيزه.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[تشكيل] لا يمكن تسجيل هذا الشئ.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[تشكيل] هذا الشئ مربوط بالروح.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[تشكيل] يرجى تسجيل الشئ الذي تريد عمل تشكيل له.
CHANGE_LOOK_INSERT_ITEM	[تشكيل] عليك تسجيل الشئ أولًا
CHANGE_LOOK_NEED_MONEY	ليس لديك يانغ كافي أو ليس لديك ما يكفي من البنود.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[تشكيل] لا يتم إتاحة هذه العملية عند فتح نافذة "تشكيل".
CHANGE_LOOK_TITLE	تشكيل
CHANGE_LOOK_TITLE2	تحويل-الدواب
CHANGE_PET_PLEASE_APPEND_FIRST	يجب استدعاء الرفيق أولا.
CHANGE_TOOLTIP2_LINE1	ضع البند الهدف على اليسار والمواد اللازمة على اليمين.
CHANGE_TOOLTIP2_LINE2	أنقر علامة الإختيار لإستخدام اليانغ أو علامة التحويل لتغيير شكل الدابة.
CHANGE_TOOLTIP2_LINE3	علامة التحويل تقوم بتغيير شكل الدابة بدون استهلاك اليانغ. (لقد تم تدمير العلامة)
CHANGE_TOOLTIP2_LINE4	إذا تم تغيير شكل الدابة بمدة صلاحية، فستستمر مدة الصلاحية الأصلية.
CHANGE_TOOLTIP2_LINE5	في حال كانت الدابة الهدف دائمة والدابة المستخدمة تحمل مدة صلاحية، ستكون مدة صلاحية التغيير مساوية لمدة صلاحية الدابة المستخدمة.
CHANGE_TOOLTIP_LINE1	ضع الشئ الذي ينبغي إجراء التشكيل عليه إلى اليسار.
CHANGE_TOOLTIP_LINE2	ضع الشئ الآخر إلى اليمين.
CHANGE_TOOLTIP_LINE3	سيتغير شكل الشئ الموجود إلى اليسار، عندما
CHANGE_TOOLTIP_LINE4	تقوم بتأكيد التشكيل ويتم سحب يانغ من رصيدك.
CHANGE_TOOLTIP_LINE5	عند استخدامك لهذا الشيء،
CHANGE_TOOLTIP_LINE6	يمكنك تشكيل بنودك بدون إستخدام اليانغ.
CHANGE_TOOLTIP_TITLE	تشكيل
CHANNEL	قناة
CHANNELING_CANNOT_LOGOUT	لا يمكنك العودة إلى نافذة التسجيل.
CHANNEL_EMPTY_SERVER	لا وجود لخادم
CHANNEL_NORMAL	قناة %d
CHANNEL_NOTIFY_FULL	إن هذه القناة ممتلئة! الرجاء اختيار قناة أخرى.
CHANNEL_NOT_FIND_INFO	لا توجد هناك معلومات عن هذه القناة.
CHANNEL_PVP	مبارزة حرة
CHANNEL_SELECT_CHANNEL	اختر القناة
CHANNEL_SELECT_REGION	اختر مكان وضع الفاتورة
CHANNEL_SELECT_SERVER	اختيار الخادم
CHANNEL_STATUS_BUSY	مشغول
CHANNEL_STATUS_FULL	مملوء
CHANNEL_STATUS_OFFLINE	غير معروف
CHANNEL_STATUS_RECOMMENDED	نوصي بـه
CHANNEL_STATUS_VACANT	خفيف
CHANNEL_TEST_SERVER	تجريب الخادم
CHANNEL_TEST_SERVER_ADDR	اختبار %s:%d
CHARACTER_CREATE_MODE	إنشاء شخصية
CHARACTER_NAME	اسم
CHARACTER_SELECT_MODE	اختيار شخصية
CHARGE_BEAD_QUESTION	تحتاج إلى: %d نجم روحي. هل ترغب في المتابعة؟
CHATTING_SETTING_ADD	إضافة علامة تبويب
CHATTING_SETTING_ADD_MAX	لا يمكنك إضافة المزيد.
CHATTING_SETTING_CHANGE_TITLE_NAME	هل تريد حفظ الاسم لهذه الدردشة؟
CHATTING_SETTING_CHANGE_TITLE_NOT	لا يمكن تغيير اسم الدردشة العامة.
CHATTING_SETTING_CLEAR_QUESTION	إعادة تعيين إلى الافتراضي؟
CHATTING_SETTING_DEL	إزالة الحقل
CHATTING_SETTING_LANGUAGE_OFF	إيقاف
CHATTING_SETTING_LANGUAGE_ON	شغِّل
CHATTING_SETTING_QUESTION_DESC_1	1. قم بتعيين رسالة لـ الخبرة المستلمة عند قتل الوحوش أو الخبرة المفقودة.
CHATTING_SETTING_QUESTION_DESC_2	2. قم بتعيين رسالة إسقاط الغنائم واليانغ المكتسب.
CHATTING_SETTING_RETURN	استرجاع الحقل
CHATTING_SETTING_SETTING	خيارات
CHAT_ALL	الجميع
CHAT_BLOCK	حظر
CHAT_DICE_INFO	رمية
CHAT_GUILD	رابطة
CHAT_INFORMATION	معلومة
CHAT_INSULT_STRING	الجملة تحتوي على كلمات مُخلة بالأدب.
CHAT_LOG	إظهار الرسائل القديمة [L]
CHAT_LOG_TITLE	سِجلُّ الدردشة
CHAT_NORMAL	عادي
CHAT_NOTICE	خادم
CHAT_PARTY	مجموعة
CHAT_SEND_CHAT	إرسال الدردشة
CHAT_SEND_MEMO	إرسال همس [Shift+Enter]
CHAT_SHOUT	نداء
CHAT_SHOUT_LIMIT	يُمكنك النداء كل 15 ثانية فقط
CHAT_WHISPER	همس
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	لا يمكنك إسقاط المال.
CHEQUE_SYSTEM_PICK_WON	لقد حصلت على %s وون.
CHEQUE_SYSTEM_SELL_PRICE	[ثمن البيع]
CHEQUE_SYSTEM_UNIT_WON	وون
CHEQUE_SYSTEM_UNIT_YANG	يانغ
CHEQUE_SYSTEM_WON	%s وون
CHEQUE_SYSTEM_YANG	%s يانغ
CHEQUE_USE_WON	تم إنفاق %s وون.
CLEAR_FLOOR	المستوى
CLEAR_TIME	الوقت
CLICK_BEAD_DESCRIPTION	النجم الروحي مطلوب لتتمكن من دخول معبد زودياك. اذهب إلى الناقل في القرية.
ClosePetChangeWndButton	أغلق
COMB_ACCE_IS_CONTINUE_PROCESS	هل ترغب في المتابعة؟
COMB_ACCE_WARNING_MESSAGE	النجاح أو النجاح الجزئي يؤدي الى تدمير الأصل. يمكن لعملية النقل أن تفشل. في حال الفشل أو النجاح الجزئي ستنخفض قيمة الاستيعاب في الهدف.
COMB_ACCE_WARNING_MESSAGE1	النجاح أو النجاح الجزئي يؤدي الى تدمير الأصل.
COMB_ACCE_WARNING_MESSAGE2	يمكن لعملية النقل أن تفشل.
COMB_ACCE_WARNING_MESSAGE3	في حال الفشل أو النجاح الجزئي ستنخفض قيمة الاستيعاب في الهدف.
COMB_ACCE_WILL_REMOVE_MATERIAL	النجاح أو النجاح الجزئي يؤدي الى تدمير الأصل.
COMB_ALREADY_APPEND	تم اختيار هذا البند من قبل.
COMB_CANT_APPEND_ITEM	لا يمكنك استعمال هذا البند.
COMB_CANT_APPEND_SEALED_ITEM	لا يمكنك استعمال بند مُرتبط بالروح.
COMB_CANT_BASE_ITEM	لا يمكن لوشاح يحتوي علاوات أن يكون هدفا.
COMB_CANT_MATCH_DRAINRATE	للقيام بعملية نقل العلاوات على قيمة الأستيعاب أن تكون متطابقة في الطرفين.
COMB_CANT_MATCH_GRADE	للقيام بعملية نقل العلاوات على المستوى أن يكون متطابقا في الطرفين.
COMB_CANT_MATERIAL_ITEM	على الوشاح الأصلي أن يحتوي على علاوة على الأقل.
COMB_COST	السعر: %s
COMB_IS_CONTINUE_PROCESS	هل ترغب في المتابعة؟
COMB_NOTICE	لا يمكنك افتتاح متجر خاص، طاما أنك بصدد استبدال الكتب.
COMB_NOTICE_NOT_OPEN	لا يمكنك استبدال أية كُتب إذا افتحت متجرك الخاص.
COMB_NOT_ALL_SLOT_APPEND_ITEM	ستحتاج إلى الأصل، الهدف وبند النقل لنقل العلاوات.
COMB_NOT_FULL_BOOK	لا، غير ممكن. إنني وكما سبق الذكر لن استبدل معك إلاّ إذا أحضرت لي 10 كتب.
COMB_NOT_ITEM_IN_INVENTORY	لا يمكنك استعمال بنود مُزوّدة.
COMB_NOT_MEDIUM_ITEM	لا يمكنك استعمال هذا البند.
COMB_WILL_REMOVE_MATERIAL	سيتم تدمير الأصل عند نجاح العملية.
CREATE_ERROR_GM_NAME	لا يسمح باستخدام حروف ’’GM’’ (سيد اللعبة) في اسم اللاعب.
CREATE_ERROR_INSULT_NAME	الاسم غير صالح.
CREATE_ERROR_LIMIT_LEVEL	يجب أن لا يقل مستوى شخصيتك عن 80.
CREATE_ERROR_TIME_LIMIT	لا يمكنك إنشاء شخصية إضافية إلّا بعد 30 ثانية.
CREATE_ERROR_WRONG_STRING	ممنوع استخدام اسم الشخصية هذا.
CREATE_EXIST_SAME_NAME	هناك شخصية أخرى تحمل هذا الاسم.
CREATE_FAILURE	لا يمكنك إنشاء هذه الشخصية.
CREATE_FULL	لا يمكنك إنشاء شخصية إضافية.
CREATE_GM_NAME	مشرف اللعبة
CREATE_INPUT_NAME	ضع اسمك.
CREATE_PLUS_STAT	ما تزال نقاط الوضع مُتاحة.
CUBE_ALCHEMY_BANN_SIGN	لا يمكنك فعل ذلك الآن.
CUBE_CATEGORY_ACCESSORY	حلي
CUBE_CATEGORY_ALCHEMY	حجر الصقل
CUBE_CATEGORY_ARMOR	دروع
CUBE_CATEGORY_ARMOR_GLOVE	قفازات
CUBE_CATEGORY_BELT	أحزمة
CUBE_CATEGORY_ETC	الخ.
CUBE_CATEGORY_EVENT	احتفالية
CUBE_CATEGORY_JOB	طبقة
CUBE_CATEGORY_MAP	خرائط كاملة
CUBE_CATEGORY_PET	رفيق
CUBE_CATEGORY_SETADD_ARMOR	إنشاء طقم الدرع
CUBE_CATEGORY_SETADD_HELMET	إنشاء طقم الخوذة
CUBE_CATEGORY_SETADD_WEAPON	إنشاء طقم السلاح
CUBE_CATEGORY_WEAPON	سلاح
CUBE_CATEGOR_SKILL_BOOK	كتاب المهارات
CUBE_DO_NOT_SAME_ALCHEMY_KINDS	الرجاء استخدام حجر صقل من النوع المناسب
CUBE_FAIL	لقد فشلت عملية الصقل.
CUBE_LIST_TEXT_ITEM_INFO	%sح (%d%%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
